abs_,airbag_driver,airbag_passenger,airbag_side,alloy_wheels,central_locking,chassis_warranty,cylinder_capacity,fuel,fuel_tank,general_warranty,maintenance,max_power,max_torque,name,no_of_cylinders,no_of_seats,parking_sensors,price,reverse_camera,top_speed,transmission,wheelbase
1,1,1,1,1,1,,1747,petrol,63,,,103 kW (140 hp),163,Alfa Romeo GT 1.8 T.Spark 16V Progression,4,5,1,33.750,0,200,manual,2596 mm
1,1,1,0,1,1,,2959,petrol,70,,,141 kW (192 hp),260,Alfa Romeo Spider 3.0 V6 L,6,2,0,46.750,0,225,manual,2540 mm
1,1,1,1,1,1,,1910,diesel,63,,,110 kW (150 hp),305,Alfa Romeo GT 1.9 JTDm 16V Q2,4,5,1,38.950,0,209,manual,2596 mm
1,1,1,1,1,1,,1970,petrol,63,,,121 kW (165 hp),206,Alfa Romeo GT 2.0 JTS 16V Distinctive,4,5,1,38.250,0,216,manual,2596 mm
1,1,1,1,1,1,,1970,petrol,63,,,121 kW (165 hp),206,Alfa Romeo GT 2.0 JTS 16V Imola,4,5,1,37.245,0,216,manual,2596 mm
1,1,1,1,1,1,,1970,petrol,63,,,121 kW (165 hp),206,Alfa Romeo GT 2.0 JTS 16V Progression,4,5,1,36.250,0,216,manual,2596 mm
1,1,1,1,1,1,,1970,petrol,63,,,121 kW (165 hp),206,Alfa Romeo GT 2.0 JTS 16V Selespeed Distinctive,4,5,1,40.250,0,216,semi-automatic,2596 mm
1,1,1,1,1,1,,1747,petrol,63,,,103 kW (140 hp),163,Alfa Romeo GT 1.8 T.Spark 16V Distinctive,4,5,1,35.750,0,200,manual,2596 mm
1,1,1,1,1,1,,1970,petrol,63,,,121 kW (165 hp),206,Alfa Romeo GT 2.0 JTS 16V Selespeed Imola,4,5,1,38.995,0,216,semi-automatic,2596 mm
1,1,1,1,1,1,,3179,petrol,63,,,176 kW (240 hp),300,Alfa Romeo GT 3.2 V6 24V Distinctive,6,5,1,45.995,0,243,manual,2596 mm
1,1,1,1,1,1,,1910,diesel,63,,,110 kW (150 hp),305,Alfa Romeo GT 1.9 JTDm 16V Impression,4,5,1,35.195,0,209,manual,2596 mm
1,1,1,1,1,1,,1910,diesel,63,,,110 kW (150 hp),305,Alfa Romeo GT 1.9 JTDm 16V Progression,4,5,1,37.250,0,209,manual,2596 mm
1,1,1,1,1,1,,1910,diesel,63,,,110 kW (150 hp),305,Alfa Romeo GT 1.9 JTDm 16V Distinctive,4,5,1,39.250,0,209,manual,2596 mm
1,1,1,1,1,1,,1368,petrol,45,,,58 kW (78 hp),120,Alfa Romeo MiTo 1.4 Distinctive,4,45,1,18.950,0,180,manual,2511 mm
