abs,brand,compression_ratio,coupe_type,cylinder_bore,doors,fuel_consumption_combined,fuel_tank_volume,fuel_type,generation,kerb_weight,minimum_turning_circle,model,modification,number_of_cylinders,number_of_gears,number_of_valves_per_cylinder,piston_stroke,position_of_cylinders,power,seats,torque,wheelbase
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),240 Combi (P245),NULL,NULL,240,2.4 Diesel (82 Hp),NULL,NULL,NULL,NULL,NULL,82 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),240 Combi (P245),NULL,NULL,240,2.7 GLT6 (141 Hp),NULL,NULL,NULL,NULL,NULL,141 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),"340-360 (343,345)",NULL,NULL,340-360,2.0 (92 Hp),NULL,NULL,NULL,NULL,NULL,92 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),"340-360 (343,345)",NULL,NULL,340-360,2.0 (118 Hp),NULL,NULL,NULL,NULL,NULL,118 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),"340-360 (343,345)",NULL,NULL,340-360,2.0 (88 Hp),NULL,NULL,NULL,NULL,NULL,88 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),"340-360 (343,345)",NULL,NULL,340-360,2.0 (95 Hp),NULL,NULL,NULL,NULL,NULL,95 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),"260 (P262,P264)",NULL,NULL,260,2.7 (125 Hp),NULL,NULL,NULL,NULL,NULL,125 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),"260 (P262,P264)",NULL,NULL,260,2.7 (140 Hp),NULL,NULL,NULL,NULL,NULL,140 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),"260 (P262,P264)",NULL,NULL,260,2.7 (148 Hp),NULL,NULL,NULL,NULL,NULL,148 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),"260 (P262,P264)",NULL,NULL,260,2.8 (129 Hp),NULL,NULL,NULL,NULL,NULL,129 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),"260 (P262,P264)",NULL,NULL,260,2.8 (155 Hp),NULL,NULL,NULL,NULL,NULL,155 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),"340-360 (343,345)",NULL,NULL,340-360,2.1 (122 Hp),NULL,NULL,NULL,NULL,NULL,122 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),740 (744),NULL,NULL,740,2.3 Turbo (190 Hp),NULL,NULL,NULL,NULL,NULL,190 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),740 (744),NULL,NULL,740,2.4 Diesel (82 Hp),NULL,NULL,NULL,NULL,NULL,82 hp,NULL,NULL,NULL
yes,Volvo,NULL,Coupe - Cabriolet,NULL,2,5.9 l/100 km.,60 l,Diesel,C70 Coupe Cabrio II,1740 kg.,11.95 m,C70,2.O D3 (150 Hp) Automatic,5,6,NULL,81 mm.,Inline,150 hp/3500 rpm.,4,350 Nm/1500-2750 rpm.,2640 mm.
yes,Volvo,10.8,Sedan,87.5 mm.,4,7.4 l/100 km.,55 l,Petrol (Gasoline),S40 II (facelift 2008),1296 kg.,10.6 m,S40,2.0i (145 Hp),4,5,4,83.1 mm.,Inline,145 hp/6000 rpm.,5,185 Nm/4500 rpm.,2640 mm.
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),"760 (704,764)",NULL,NULL,760,2.4 Turbo Diesel (704) (112 Hp),NULL,NULL,NULL,NULL,NULL,112 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),"760 (704,764)",NULL,NULL,760,2.8 (764) (156 Hp),NULL,NULL,NULL,NULL,NULL,156 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),"760 (704,764)",NULL,NULL,760,2.8 (704) (143 Hp),NULL,NULL,NULL,NULL,NULL,143 hp,NULL,NULL,NULL
