abs_,airbag_driver,airbag_passenger,airbag_side,alloy_wheels,central_locking,chassis_warranty,cylinder_capacity,fuel,fuel_tank,general_warranty,maintenance,max_power,max_torque,name,no_of_cylinders,no_of_seats,parking_sensors,price,reverse_camera,top_speed,transmission,wheelbase
1,1,1,1,1,1,,1199,petrol,50,,,81 kW (110 hp),205,DS 3 Cabrio PureTech 110 So Chic,3,5,1,25.690,0,189,sequential automatic,2464 mm
1,1,1,1,1,1,,1199,petrol,50,,,81 kW (110 hp),205,DS 3 Cabrio PureTech 110 1955,3,5,1,27.440,1,190,manual,2464 mm
1,1,1,1,1,1,,1998,petrol,65,,,96 kW (131 hp),181,Daewoo Evanda 2.0 CDX,4,5,0,25.495,0,200,manual,2700 mm
1,1,1,1,0,1,,1998,petrol,65,,,96 kW (131 hp),181,Daewoo Evanda 2.0 SX,4,5,0,21.995,0,200,manual,2700 mm
1,1,1,1,1,1,,1998,petrol,65,,,96 kW (131 hp),181,Daewoo Evanda 2.0 CDX,4,5,0,27.095,0,190,automatic,2700 mm
1,1,1,1,1,1,,1368,petrol,35,,,118 kW (160 hp),230,Abarth 500 1.4 16v T-Jet 595 Turismo 160,4,4,1,27.230,0,210,manual,2300 mm
1,1,1,1,1,1,,1560,diesel,55,,,80 kW (109 hp),240,Ford C-MAX 1.6 TDCi 109hp Titanium,4,5,0,28.916,0,185,manual,2640 mm
1,1,1,1,1,1,,1368,petrol,35,,,118 kW (160 hp),230,Abarth 500 1.4 16v T-Jet 595 Competizione 160,4,4,1,29.282,0,210,manual,2300 mm
1,1,1,1,1,1,,1368,petrol,35,,,118 kW (160 hp),230,Abarth 500 1.4 16v T-Jet 595 Competizione 160,4,4,1,30.982,0,210,semi-automatic,2300 mm
1,1,1,1,1,1,,1368,petrol,35,,,118 kW (160 hp),230,Abarth 500 1.4 16v T-Jet 595 Turismo 160,4,4,1,28.930,0,210,semi-automatic,2300 mm
1,1,1,1,1,1,,1368,petrol,35,,,99 kW (135 hp),206,Abarth 500 1.4 16v T-Jet Custom 135,4,4,0,22.710,0,205,manual,2300 mm
1,1,1,1,1,1,,1368,petrol,35,,,140 kW (190 hp),250,Abarth 695 Biposto,4,2,1,50.750,0,230,manual,2300 mm
1,1,1,1,1,1,,1368,petrol,35,,,99 kW (135 hp),206,Abarth 500 1.4 16v T-Jet Elaborabile 135,4,4,1,22.795,0,205,manual,2300 mm
1,1,1,1,1,1,,1368,petrol,35,,,99 kW (135 hp),206,Abarth 500 1.4 16v T-Jet Custom 135,4,4,0,20.995,0,205,manual,2300 mm
1,1,1,1,1,1,,1368,petrol,35,,,103 kW (140 hp),206,Abarth 500 1.4 16v T-Jet Elaborabile 140,4,4,1,24.910,0,205,semi-automatic,2300 mm
1,1,1,1,1,1,,1368,petrol,35,,,118 kW (160 hp),230,Abarth 500 1.4 16v T-Jet 595 Competizione 160,4,4,1,30.995,0,210,semi-automatic,2300 mm
1,1,1,1,1,1,,1368,petrol,35,,,132 kW (180 hp),230,Abarth 500 1.4 16v T-Jet 595 Competizione 180,4,4,1,30.279,0,225,manual,2300 mm
0,0,0,0,0,0,,1116,petrol,30,,,40 kW (55 hp),80,Yugo 55 L,4,5,0,5.262,0,145,manual,2150 mm
0,0,0,0,0,0,,1116,petrol,30,,,40 kW (55 hp),80,Yugo 55 GLS,4,5,0,5.942,0,145,manual,2150 mm
1,1,1,1,1,1,,1368,petrol,35,,,103 kW (140 hp),206,Abarth 500 1.4 16v T-Jet Elaborabile 140,4,4,1,23.210,0,205,manual,2300 mm
1,1,1,1,1,1,,1368,petrol,35,,,118 kW (160 hp),230,Abarth 500 1.4 16v T-Jet 595 Turismo 160,4,4,1,27.930,0,210,semi-automatic,2300 mm
1,1,1,1,1,1,,1368,petrol,35,,,118 kW (160 hp),230,Abarth 500 1.4 16v T-Jet 595 Competizione 160,4,4,1,29.295,0,210,manual,2300 mm
0,0,0,0,0,0,,903,petrol,30,,,33 kW (45 hp),62,Yugo 45 E,4,5,0,4.537,0,135,manual,2150 mm
1,1,1,1,1,1,,1368,petrol,35,,,99 kW (135 hp),206,Abarth 500 1.4 16v T-Jet Elaborabile 135,4,4,1,24.495,0,205,semi-automatic,2300 mm
0,0,0,0,0,0,,903,petrol,30,,,33 kW (45 hp),62,Yugo 45 L,4,5,0,5.035,0,135,manual,2150 mm
1,1,1,1,1,1,,1368,petrol,35,,,99 kW (135 hp),206,Abarth 500 1.4 16v T-Jet,4,4,1,23.200,0,205,manual,2300 mm
0,0,0,0,0,0,,903,petrol,30,,,33 kW (45 hp),62,Yugo 45 S,4,5,0,4.944,0,135,manual,2150 mm
1,1,1,1,1,1,,1368,petrol,35,,,118 kW (160 hp),230,Abarth 500 1.4 16v T-Jet 595 Turismo 160,4,4,1,26.230,0,210,manual,2300 mm
1,1,1,1,1,1,,1368,petrol,35,,,132 kW (180 hp),230,Abarth 500 1.4 16v T-Jet 595 Competizione 180,4,4,1,31.979,0,225,semi-automatic,2300 mm
1,1,1,1,1,1,,6162,petrol,69,,,321 kW (437 hp),570,Corvette C6 Convertible,8,2,0,127.420,0,300,sequential automatic,2686 mm
0,0,0,0,0,1,,1124,petrol,43,,,44 kW (60 hp),88,Citroen AX 11 TGE,4,5,0,10.469,0,167,manual,2285 mm
1,1,1,1,1,1,,6162,petrol,69,,,321 kW (437 hp),570,Corvette C6 Convertible,8,2,0,122.070,0,300,manual,2686 mm
0,0,0,0,1,0,,2753,petrol,80,,,147 kW (200 hp),290,Datsun 280 ZX Turbo 2+2,6,4,0,26.773,0,230,manual,2520 mm
0,0,0,0,0,0,,1360,petrol,43,,,51 kW (69 hp),107,Citroen AX 14 TRS,4,5,0,8.917,0,172,manual,2285 mm
1,1,1,1,1,1,,6162,petrol,69,,,321 kW (437 hp),570,Corvette C6 Coupe,8,2,0,108.790,0,300,manual,2686 mm
1,1,1,1,1,1,,6162,petrol,69,,,321 kW (437 hp),570,Corvette C6 Coupe Victory Edition,8,2,0,97.990,0,300,sequential automatic,2686 mm
1,1,1,1,1,1,,7011,petrol,69,,,376 kW (511 hp),645,Corvette C6 Coupe Z06,8,2,0,146.690,0,319,manual,2686 mm
1,1,1,1,1,1,,2987,diesel,68,,,160 kW (218 hp),510,Chrysler 300C 3.0 CRD,6,5,1,60.710,0,230,sequential automatic,3048 mm
1,1,1,1,1,1,,6162,petrol,69,,,321 kW (437 hp),570,Corvette C6 Coupe Victory Edition,8,2,0,92.790,0,300,manual,2686 mm
1,1,1,1,1,1,,6162,petrol,69,,,321 kW (437 hp),570,Corvette C6 Coupe,8,2,0,114.140,0,300,sequential automatic,2686 mm
1,1,1,1,1,1,,1461,diesel,50,,,80 kW (109 hp),240,Dacia Duster dCi 110 4x4 Prestige,4,5,1,28.890,0,168,manual,2674 mm
1,1,1,1,1,1,,6059,petrol,71,,,310 kW (425 hp),570,Chrysler 300C HEMI 6.1 V8 SRT8,8,5,1,105.990,0,265,sequential automatic,3048 mm
1,1,0,0,0,1,,1998,petrol,50,,,77 kW (105 hp),164,Daewoo Espero 2.0 CD,4,5,0,19.011,0,180,automatic,2620 mm
1,1,1,1,1,1,,1199,petrol,50,,,92 kW (125 hp),205,Dacia Duster TCe 125 4x4 10th Anniversary,4,5,1,21.290,0,177,manual,2674 mm
1,0,0,0,1,1,,3405,petrol,88,,,235 kW (320 hp),324,Ferrari 348 Spider,8,2,0,147.025,0,280,manual,2450 mm
1,1,0,0,0,1,,1998,petrol,50,,,77 kW (105 hp),164,Daewoo Espero 2.0 CD,4,5,0,17.468,0,185,manual,2620 mm
0,0,0,0,0,0,,1589,petrol,50,,,77 kW (105 hp),134,Daihatsu Applause 16 Osaka,4,5,0,15.063,0,175,automatic,2470 mm
1,1,1,1,1,1,,1199,petrol,50,,,92 kW (125 hp),205,Dacia Duster TCe 125 4x2 Prestige,4,5,1,20.090,1,175,manual,2674 mm
1,1,1,1,1,1,,999,petrol,48,,,74 kW (100 hp),170,Ford B-MAX 1.0 EcoBoost 100hp Style,3,5,0,20.040,0,175,manual,2489 mm
1,1,1,1,1,1,,1199,petrol,50,,,84 kW (115 hp),200,Dacia Dokker TCe 115 10th Anniversary,4,5,0,17.690,0,175,manual,2810 mm
1,1,1,1,1,1,,1596,petrol,48,,,77 kW (105 hp),150,Ford B-MAX 1.6 Ti-VCT Style,4,5,0,23.745,0,180,sequential automatic,2489 mm
1,1,1,1,1,1,,999,petrol,48,,,92 kW (125 hp),200,Ford B-MAX 1.0 EcoBoost 125hp Titanium,3,5,1,22.910,1,189,manual,2489 mm
1,1,1,1,1,1,,1560,diesel,47,,,70 kW (95 hp),215,Ford B-MAX 1.6 TDCi Style,4,5,0,23.205,0,173,manual,2489 mm
1,1,1,1,1,1,,1499,diesel,47,,,70 kW (95 hp),215,Ford B-MAX 1.5 TDCi Titanium,4,5,1,25.765,1,173,manual,2489 mm
